

gen best mean std
0 90.248738 18.732323 33.61188
1 90.248738 27.023234 34.881605
2 90.248738 34.419687 35.19854
3 90.932751 43.978917 34.677523
4 90.986602 53.386391 33.346149
5 92.091655 59.420984 32.732665
6 92.091655 66.380081 29.962558
7 92.091655 70.572931 27.017431
8 92.155982 75.013288 24.024053
9 92.155982 77.213072 22.127489
10 92.155982 79.909097 18.363153
11 92.155982 82.455772 15.114355
12 92.155982 82.975281 13.94998
13 92.155982 84.387089 11.941908
14 92.155982 84.827775 11.646444
15 92.155982 84.952121 11.611809
16 92.155982 86.308625 7.050257
17 92.155982 87.266219 4.448577
18 92.17704 87.523587 4.495649
19 92.17704 87.573839 4.503983
20 93.060103 87.878913 4.540341
21 93.060103 87.981032 4.554676
22 93.060103 88.154224 4.570114
23 93.060103 88.311358 4.586067
24 93.060103 88.426088 4.584857
25 93.060103 88.476004 4.594248
26 93.060103 88.609063 4.607793
27 93.060103 88.614164 4.611694
28 93.060103 88.750678 4.617548
29 93.060103 89.310983 2.085675
30 93.060103 89.357894 2.064051
31 93.060103 89.396774 2.063621
32 93.060103 89.483223 2.094756
33 93.060103 89.547451 2.087595
34 93.060103 89.581538 2.054469
35 93.060103 89.604067 2.067978
36 93.060103 89.720068 2.058235
37 93.060103 89.822393 2.041089
38 93.060103 89.976612 2.039752
39 93.508891 90.104043 1.99908
40 93.508891 90.140164 2.003499
41 93.508891 90.147409 2.003072
42 93.508891 90.198482 2.012359
43 93.508891 90.27388 1.945853
44 93.508891 90.31188 1.954382
45 93.508891 90.320657 1.946211
46 93.508891 90.406206 1.88545
47 93.508891 90.455241 1.843583
48 93.508891 90.479065 1.845742
49 93.508891 90.529631 1.844014
