

gen best mean std
0 90.533548 25.515872 35.033196
1 92.974253 44.373569 36.962322
2 92.974253 58.149369 33.44589
3 92.974253 66.637191 28.725916
4 92.974253 71.95447 25.424095
5 93.067727 75.69989 22.887194
6 93.067727 79.979666 19.330715
7 93.067727 81.698042 16.893396
8 93.334253 84.893631 12.790978
9 93.334253 85.793493 11.680502
10 93.454253 87.509086 8.699953
11 93.454253 88.376738 6.855225
12 93.454253 88.682608 6.248109
13 93.454253 89.920485 3.412418
14 93.454253 90.234387 3.371723
15 93.880945 90.384143 3.3846
16 93.880945 90.646207 3.338918
17 93.880945 90.894589 2.942748
18 93.880945 90.981004 2.929301
19 93.880945 91.122951 2.927924
20 94.000945 91.410802 2.800111
21 94.000945 91.857685 2.050605
22 94.000945 91.960519 1.941086
23 94.000945 92.248888 1.779848
24 94.000945 92.459849 1.561096
25 94.000945 92.536118 1.427875
26 94.006708 92.702238 1.325749
27 94.006708 92.776114 1.283276
28 94.006708 92.817368 1.269195
29 94.006708 92.900564 1.22482
30 94.006708 92.926308 1.225837
31 94.006708 92.981668 1.049025
32 94.006708 93.007079 1.035031
33 94.006708 93.023487 1.04077
34 94.006708 93.122508 0.818236
35 94.006708 93.168709 0.78185
36 94.006708 93.175976 0.786437
37 94.006708 93.188681 0.782845
38 94.006708 93.221448 0.776982
39 94.006708 93.266404 0.733579
40 94.006708 93.300259 0.732369
41 94.006708 93.326212 0.699435
42 94.006708 93.338166 0.697213
43 94.006708 93.370327 0.668921
44 94.006708 93.382501 0.673299
45 94.006708 93.402438 0.674791
46 94.006708 93.417713 0.676368
47 94.012506 93.460202 0.673914
48 94.012506 93.466003 0.676009
49 94.012506 93.484968 0.648359
