

gen best mean std
0 93.092892 39.453257 40.662246
1 93.526708 60.772592 37.475478
2 93.526708 71.027964 33.538313
3 93.526708 78.224836 27.189967
4 93.526708 81.481933 24.116979
5 94.091732 86.682502 16.05638
6 94.091732 91.645497 1.094816
7 94.091732 91.832093 0.851657
8 94.091732 91.969444 0.796695
9 94.091732 92.09752 0.772794
10 94.091732 92.173197 0.754254
11 94.091732 92.263007 0.766856
12 94.516054 92.360346 0.817518
13 94.516054 92.384539 0.819504
14 94.516054 92.450898 0.815898
15 94.516054 92.479719 0.803901
16 94.516054 92.555106 0.805634
17 94.552404 92.589026 0.814655
18 94.552404 92.604201 0.8142
19 94.552404 92.646376 0.806989
20 94.552404 92.663621 0.808658
21 94.552404 92.665545 0.810479
22 94.552404 92.665545 0.810479
23 94.552404 92.672964 0.811466
24 94.552404 92.735298 0.799663
25 94.552404 92.745297 0.795588
26 94.552404 92.745297 0.795588
27 94.552404 92.75587 0.794454
28 94.552404 92.757801 0.792614
29 94.552404 92.767244 0.781882
30 94.552404 92.772999 0.776539
31 94.552404 92.795862 0.765205
32 94.552404 92.800604 0.762053
33 94.552404 92.800604 0.762053
34 94.876054 92.837437 0.780067
35 94.876054 92.850859 0.774549
36 94.876054 92.858292 0.764963
37 94.876054 92.869945 0.770075
38 94.876054 92.899012 0.740373
39 94.876054 92.917332 0.744278
40 94.876054 92.936992 0.739552
41 94.876054 92.938086 0.739739
42 94.876054 92.943461 0.737691
43 94.876054 92.94518 0.738298
44 94.876054 92.967501 0.724547
45 94.876054 92.999456 0.712852
46 94.876054 93.023496 0.683975
47 94.876054 93.042667 0.689296
48 94.876054 93.048936 0.679872
49 94.876054 93.074134 0.692247
