

gen best mean std
0 91.630675 17.921448 32.982761
1 91.630675 21.608274 34.387708
2 92.508788 35.154046 40.408905
3 93.130924 45.399507 41.3649
4 93.130924 51.060456 41.313517
5 93.23699 55.411756 40.770265
6 93.23699 61.046641 39.001078
7 93.2639 64.209983 38.973649
8 93.2639 67.801426 37.184051
9 93.2639 70.893354 35.744342
10 93.786794 72.856424 34.795017
11 93.786794 74.920923 33.142672
12 93.786794 75.958032 32.133976
13 93.786794 77.972811 30.154868
14 94.158253 82.017401 25.918558
15 94.158253 83.055347 24.852103
16 94.158253 83.137614 24.879495
17 94.158253 83.913221 24.088285
18 94.158253 84.84063 22.649115
19 94.158253 85.651373 22.195801
20 94.158253 85.679648 22.202593
21 94.158253 85.772754 22.221079
22 94.158253 86.719707 20.595204
23 94.158253 86.78327 20.60725
24 94.696054 87.676816 19.000393
25 94.696054 88.340663 17.097335
26 94.696054 88.382433 17.106608
27 94.696054 89.330725 14.700723
28 94.696054 89.661002 14.50722
29 94.696054 89.709128 14.515858
30 94.696054 89.744099 14.521217
31 94.696054 90.082735 12.821365
32 94.696054 90.120695 12.827343
33 94.696054 90.781612 11.483188
34 94.696054 90.81754 11.474398
35 94.696054 91.716265 7.275829
36 94.696054 92.457899 0.96027
37 94.696054 92.490613 0.908134
38 94.696054 92.514304 0.870633
39 94.696054 92.552823 0.85513
40 94.696054 92.564154 0.846301
41 94.696054 92.56943 0.845344
42 94.696054 92.57849 0.848443
43 94.696054 92.614398 0.845761
44 94.696054 92.65986 0.823956
45 94.696054 92.69 0.791662
46 94.696054 92.709058 0.76276
47 94.696054 92.723301 0.72582
48 94.736119 92.774476 0.751757
49 94.736119 92.797499 0.735623
