

gen best mean std
0 89.803216 17.424567 34.080688
1 89.803216 27.201083 38.142009
2 89.803216 40.887115 39.866058
3 90.806602 55.001195 38.601665
4 90.806602 64.220459 34.456676
5 90.806602 71.386346 30.374914
6 90.806602 74.158294 27.852487
7 90.806602 76.995223 25.139115
8 90.806602 80.331834 20.067239
9 91.822348 82.895278 15.654241
10 91.822348 83.584842 14.760085
11 91.822348 85.371879 11.722008
12 91.822348 85.446229 11.732629
13 91.822348 86.271307 9.107733
14 91.892892 87.034831 6.850908
15 91.892892 87.093713 6.858673
16 91.892892 87.235619 6.880664
17 91.892892 87.941686 1.781153
18 91.892892 87.971166 1.795701
19 91.892892 88.013966 1.802863
20 91.892892 88.119887 1.790293
21 91.892892 88.170302 1.80047
22 91.892892 88.199928 1.787584
23 92.316168 88.418159 1.884874
24 92.316168 88.481301 1.919217
25 92.316168 88.550258 1.900996
26 92.316168 88.763979 1.924778
27 92.316168 88.820897 1.894977
28 92.316168 88.850384 1.88375
29 92.316168 88.92716 1.861161
30 92.316168 88.973382 1.891181
31 92.316168 88.993621 1.903981
32 92.316168 89.038808 1.901358
33 92.316168 89.14423 1.925152
34 92.316168 89.238865 1.914918
35 92.515982 89.251801 1.932562
36 92.515982 89.273523 1.943898
37 92.515982 89.29554 1.929543
38 92.515982 89.425176 1.948589
39 92.515982 89.545097 1.941771
40 92.515982 89.56361 1.950084
41 92.515982 89.610789 1.895563
42 92.515982 89.677615 1.905381
43 92.515982 89.73704 1.898533
44 92.515982 89.833355 1.899889
45 92.515982 89.91323 1.84088
46 92.612828 89.974851 1.826369
47 92.612828 90.086472 1.81941
48 92.612828 90.095834 1.8252
49 92.612828 90.155684 1.785298
