

gen best mean std
0 93.90188 35.474907 43.070226
1 93.90188 48.515192 42.44523
2 93.90188 61.400356 39.747526
3 94.36625 74.865467 32.612123
4 94.36625 84.123381 22.743239
5 94.36625 86.432523 20.027146
6 94.36625 90.391522 8.764102
7 94.36625 91.088385 6.265524
8 94.36625 91.915482 1.003339
9 94.36625 92.019144 1.002591
10 94.36625 92.179852 0.929384
11 94.36625 92.28868 0.960496
12 94.569365 92.43483 0.963168
13 94.569365 92.616013 0.887104
14 94.569365 92.732882 0.858355
15 94.569365 92.894316 0.819589
16 94.60625 92.981631 0.839972
17 94.60625 93.009064 0.82119
18 94.60625 93.023387 0.804743
19 94.60625 93.05668 0.796355
20 94.60625 93.065235 0.796637
21 94.60625 93.071933 0.793617
22 94.60625 93.099621 0.79698
23 94.60625 93.168621 0.76928
24 94.60625 93.199777 0.752778
25 94.642788 93.251821 0.739058
26 94.642788 93.251821 0.739058
27 94.642788 93.255198 0.742383
28 94.642788 93.256266 0.742027
29 94.642788 93.272714 0.712712
30 94.642788 93.313876 0.693082
31 94.642788 93.330924 0.687426
32 94.689365 93.355555 0.707961
33 94.689365 93.371334 0.710239
34 94.775214 93.405138 0.719778
35 94.775214 93.446269 0.714325
36 94.775214 93.461641 0.71774
37 94.775214 93.483664 0.702092
38 94.775214 93.504494 0.711431
39 94.775214 93.547029 0.7088
40 94.775214 93.547374 0.709103
41 94.775214 93.573892 0.7042
42 94.775214 93.603777 0.699892
43 94.775214 93.603777 0.699892
44 94.775214 93.61949 0.675344
45 94.775214 93.63086 0.667154
46 94.775214 93.652648 0.647614
47 94.775214 93.667484 0.628322
48 94.775214 93.678968 0.611922
49 94.775214 93.683308 0.608676
