

gen best mean std
0 89.103246 9.601492 28.305657
1 89.103246 16.867525 32.586815
2 89.103246 20.87232 33.537619
3 89.353561 27.341529 35.977134
4 89.865561 32.744658 36.229366
5 89.865561 37.397365 36.802959
6 89.865561 44.63587 36.141899
7 89.865561 50.274183 36.774148
8 89.865561 57.112712 34.942246
9 89.865561 63.015001 32.538039
10 89.865561 66.309092 30.818291
11 89.865561 69.667182 29.226057
12 89.865561 73.652329 26.512582
13 91.753573 77.706213 21.011071
14 91.753573 78.699204 20.050833
15 91.753573 79.597279 18.813919
16 91.753573 80.670471 17.204507
17 91.753573 82.549417 14.153632
18 91.753573 83.90682 11.550464
19 91.753573 84.857112 10.477607
20 92.233573 84.924321 10.496011
21 92.233573 85.368769 10.148112
22 92.233573 85.39684 10.152631
23 92.233573 85.403572 10.15323
24 92.233573 85.522419 9.53013
25 92.233573 86.203685 6.986146
26 92.233573 86.234591 6.988097
27 92.233573 86.347936 6.184444
28 92.233573 86.57222 4.579645
29 92.233573 86.774497 4.08833
30 92.233573 86.907212 4.128624
31 92.233573 87.313975 1.379325
32 92.233573 87.355185 1.404196
33 92.492892 87.439256 1.488301
34 92.492892 87.439256 1.488301
35 92.492892 87.458327 1.486935
36 92.492892 87.513259 1.519259
37 92.492892 87.513259 1.519259
38 92.492892 87.612352 1.563472
39 92.492892 87.612352 1.563472
40 92.492892 87.766253 1.608915
41 92.492892 87.769537 1.609937
42 92.492892 87.785234 1.606808
43 92.492892 87.82303 1.614806
44 92.492892 87.851577 1.612572
45 92.492892 87.8945 1.622909
46 92.492892 87.926245 1.612052
47 92.492892 87.976841 1.631974
48 92.492892 88.012068 1.628018
49 92.492892 88.055533 1.640656
