

gen best mean std
0 34.027247 0.357694 7.540301
1 34.027247 4.96512 9.556298
2 36.232756 9.444934 10.144127
3 36.240144 12.24335 10.908756
4 36.240144 15.807673 10.692041
5 37.83791 19.692449 10.596202
6 37.83791 22.864432 9.80367
7 37.83791 24.841783 9.186544
8 37.83791 26.589843 8.315406
9 37.83791 27.775228 7.862935
10 37.83791 28.665365 7.692142
11 40.361776 29.99049 7.348819
12 40.361776 30.430057 6.948954
13 40.361776 31.396892 6.252454
14 40.361776 32.025202 6.083167
15 40.361776 32.637939 5.608375
16 40.361776 33.382926 4.441228
17 40.361776 33.882285 4.208011
18 40.361776 34.25862 4.191804
19 42.437962 34.832216 4.178844
20 42.515371 35.273798 4.387814
21 42.52124 35.559715 4.531872
22 42.52124 35.619169 4.533617
23 42.52124 35.769204 4.514687
24 42.52124 36.059249 4.413072
25 42.52124 36.291446 4.490801
26 42.526135 36.672011 4.111253
27 42.526135 36.931028 4.169118
28 42.526135 37.067068 4.052513
29 42.52912 37.300286 4.029853
30 42.53443 37.674805 4.01471
31 42.53443 37.917021 3.841016
32 42.53443 38.175476 3.830773
33 42.53443 38.467693 3.680245
34 42.535517 38.889934 3.651758
35 42.547158 39.161783 3.65421
36 42.547158 39.258205 3.675338
37 42.547158 39.533485 3.635856
38 42.547158 39.966977 3.390244
39 42.547158 40.199903 3.296578
40 42.547158 40.368791 3.234859
41 42.547158 40.60846 2.721379
42 42.547158 40.733511 2.701731
43 42.547158 40.791054 2.653405
44 42.547818 40.931045 2.196269
45 42.547818 40.977023 2.132144
46 42.547818 41.104316 2.108846
47 42.547818 41.195494 1.953877
48 42.549401 41.246025 1.943634
49 42.549401 41.362056 1.858488
