

gen best mean std
0 21.244332 -3.30583 5.966628
1 21.244332 -1.134732 6.832614
2 21.244332 1.945322 7.413535
3 21.244332 2.840519 7.497907
4 27.548386 5.552307 8.257227
5 38.299433 9.758907 9.860869
6 38.299433 15.503479 10.418513
7 38.299433 19.097642 10.226375
8 39.546384 22.81246 10.438526
9 39.546384 25.214428 9.558939
10 40.703777 28.141524 7.879103
11 40.703777 30.264564 6.951415
12 42.155405 32.366443 5.895378
13 44.899029 34.336393 5.878239
14 46.053135 35.907813 6.239626
15 46.053135 37.589624 5.817052
16 46.053135 38.325119 5.767076
17 46.053135 39.611587 5.643883
18 46.504208 40.12656 5.428014
19 46.504208 40.536294 5.212679
20 46.51833 41.17587 5.065472
21 46.51833 42.004134 4.522656
22 46.523876 42.542713 4.011478
23 46.527256 43.017571 3.90816
24 46.528908 43.511766 4.020983
25 46.528908 43.857763 3.955727
26 46.528908 44.039995 3.82032
27 46.528908 44.215818 3.842013
28 46.566943 44.249261 3.855024
29 46.56769 44.447637 3.823779
30 46.56769 44.606734 3.70569
31 47.530538 44.734034 3.594057
32 47.596792 45.055416 2.91272
33 47.596792 45.341088 2.581384
34 47.597053 45.663239 2.541995
35 47.597053 45.889238 2.405795
36 47.597053 46.0258 2.24202
37 47.597053 46.211024 2.203126
38 47.597053 46.405137 2.213384
39 47.597053 46.466653 2.229282
40 47.597053 46.483879 2.233385
41 47.597053 46.513159 2.236521
42 47.597053 46.604198 2.215538
43 47.597053 46.642376 2.197534
44 47.597053 46.719378 2.158345
45 47.597053 46.746302 2.150206
46 47.597053 46.796059 2.128025
47 47.597053 46.875827 1.955033
48 47.597053 46.949441 1.906831
49 47.597053 46.967982 1.861514
