

gen best mean std
0 92.440414 31.317417 39.417687
1 92.440414 45.619561 41.784339
2 92.440414 54.178112 40.377946
3 92.915214 61.373075 38.897259
4 93.830514 71.279222 34.199517
5 93.830514 77.516508 29.934981
6 93.830514 81.623898 26.271291
7 93.830514 82.080188 26.210317
8 93.830514 84.951322 22.193079
9 93.830514 86.743498 19.510421
10 93.830514 86.8527 19.529775
11 94.049516 88.78312 15.350578
12 94.049516 88.868755 15.354586
13 94.049516 89.066772 14.863869
14 94.049516 90.842337 9.001849
15 94.696054 90.924639 9.004711
16 94.696054 90.980757 9.009572
17 94.696054 91.0442 9.015574
18 94.696054 91.111138 9.023564
19 94.696054 92.026568 0.890599
20 94.696054 92.097829 0.836348
21 94.696054 92.176083 0.868389
22 94.696054 92.225545 0.904485
23 94.696054 92.265518 0.929121
24 94.696054 92.306482 0.932343
25 94.696054 92.327599 0.912588
26 94.696054 92.368381 0.902828
27 94.696054 92.424968 0.859256
28 94.696054 92.435478 0.860027
29 94.696054 92.478505 0.841833
30 94.696054 92.506881 0.832631
31 94.696054 92.533295 0.833664
32 94.696054 92.611071 0.827778
33 94.696054 92.646773 0.820512
34 94.696054 92.653295 0.825931
35 94.696054 92.687627 0.81795
36 94.696054 92.703149 0.816796
37 94.696054 92.706036 0.81878
38 94.696054 92.732075 0.816165
39 94.816054 92.758759 0.831546
40 94.816054 92.772639 0.834917
41 94.816054 92.789443 0.83086
42 94.816054 92.797961 0.825901
43 94.816054 92.830094 0.818841
44 94.816054 92.856125 0.824492
45 94.816054 92.867999 0.819008
46 94.816054 92.887412 0.816077
47 94.816054 92.898361 0.8167
48 94.816054 92.943612 0.79269
49 94.816054 92.943786 0.79274
