

gen best mean std
0 56.773463 5.188879 15.355843
1 56.775442 10.432089 16.892288
2 87.213791 18.553595 20.526882
3 87.213791 22.143035 21.347807
4 87.213791 26.879067 21.713373
5 87.213791 33.706123 23.056367
6 87.213791 38.157409 21.785462
7 87.213791 42.386375 20.883357
8 87.213791 46.439019 20.531132
9 87.213791 48.327292 19.497209
10 87.213791 49.52083 19.71379
11 87.213791 51.932081 19.110703
12 87.213791 55.408144 19.250685
13 87.213791 57.121214 19.873667
14 88.362129 60.270156 18.276476
15 88.362129 61.556111 18.329692
16 88.595442 64.001682 17.385031
17 88.595442 64.628111 16.904263
18 88.595442 64.894699 16.993277
19 88.595442 66.199251 17.12934
20 88.595442 67.488236 15.687393
21 88.595442 68.050436 15.027812
22 88.595442 69.250981 14.534816
23 88.595442 69.340942 14.485065
24 88.595442 70.379573 14.177939
25 88.595442 70.717643 14.189597
26 88.595442 71.198568 13.923772
27 88.595442 71.598304 13.93431
28 88.595442 72.087918 13.782626
29 89.593424 72.619618 13.821245
30 89.593424 73.648655 12.852991
31 89.593424 75.506545 12.144127
32 89.593424 76.421122 11.254501
33 89.593424 76.959397 11.216759
34 89.593424 77.517453 11.094698
35 89.593424 77.71689 11.066997
36 89.593424 78.687904 10.742393
37 89.593424 79.13584 10.659718
38 89.593424 79.733869 10.375514
39 89.593424 80.100109 10.320121
40 89.593424 80.540056 10.243388
41 89.593424 80.667533 9.902751
42 89.593424 81.130753 9.814105
43 89.593424 81.350598 9.792715
44 89.593424 81.359028 9.79305
45 89.593424 81.823369 9.497685
46 89.593424 82.06431 9.304485
47 89.593424 82.124038 9.334516
48 89.593424 83.158063 7.62499
49 89.593424 83.15856 7.623855
