

gen best mean std
0 91.393573 17.025925 32.311253
1 91.393573 21.710424 34.154132
2 92.275982 29.371984 36.498374
3 92.275982 37.488631 38.229669
4 92.275982 41.942116 38.073953
5 92.275982 45.823054 37.871744
6 92.275982 49.87972 36.910173
7 92.275982 56.102465 36.042942
8 92.275982 59.137909 34.595385
9 92.275982 62.686434 33.966093
10 92.275982 65.561705 31.838669
11 92.275982 68.439964 30.245302
12 92.275982 71.08425 28.829791
13 92.275982 74.552542 25.929979
14 92.275982 75.622674 25.119371
15 92.459599 76.297502 24.822261
16 92.459599 78.863409 22.762751
17 92.459599 81.260634 19.072665
18 92.459599 81.938087 18.290577
19 92.796168 83.555112 15.31227
20 92.796168 84.752079 13.913965
21 92.796168 85.681904 12.229187
22 92.796168 86.897797 7.863008
23 92.796168 87.336598 7.625177
24 92.796168 87.398938 7.62964
25 92.796168 87.410188 7.628525
26 92.796168 87.470248 7.642114
27 92.796168 88.11714 6.660728
28 92.796168 88.245338 6.681225
29 92.875982 88.437383 6.6962
30 92.875982 88.530873 6.712268
31 92.875982 89.134469 3.247991
32 92.875982 89.260548 3.241069
33 92.875982 89.356932 3.259769
34 93.268891 89.44852 3.257158
35 93.268891 89.564734 3.248178
36 93.268891 89.582887 3.245497
37 93.268891 89.617332 3.239742
38 93.268891 89.656758 3.246323
39 93.268891 89.691504 3.240778
40 93.268891 89.754973 3.237687
41 93.268891 89.754973 3.237687
42 93.268891 89.827299 3.243984
43 93.268891 89.877022 3.224629
44 93.268891 89.951777 3.178352
45 93.268891 89.980933 3.180082
46 93.268891 90.11426 3.15486
47 93.268891 90.178731 3.13545
48 93.268891 90.21031 3.13714
49 93.268891 90.229473 3.142532
