

gen best mean std
0 74.851532 5.73435 20.31183
1 74.851532 8.375458 21.931821
2 74.868774 9.835629 23.487916
3 74.868774 11.646277 24.303366
4 74.868774 14.068377 26.287916
5 74.868774 15.864099 27.295849
6 74.868774 17.813366 28.175393
7 74.945561 21.12393 29.357939
8 87.011736 22.88516 30.103212
9 87.011736 24.887946 30.914803
10 87.011736 25.702496 30.978225
11 87.011736 27.762853 32.038915
12 87.011736 29.376932 32.355884
13 87.011736 30.289568 32.796901
14 87.011736 31.596473 32.264198
15 87.011736 31.986459 32.618243
16 87.011736 32.964462 32.790472
17 87.011736 35.403646 32.54301
18 87.011736 35.947945 32.119979
19 87.19141 37.827749 32.96909
20 87.19141 38.058232 33.225944
21 87.19141 39.372886 33.995678
22 87.19141 39.499364 34.139232
23 87.193424 40.035778 34.269068
24 87.193424 40.399955 34.431696
25 87.193424 41.098667 34.356409
26 87.193424 41.817447 34.28606
27 87.193424 42.173041 34.533741
28 87.193424 42.262904 34.583273
29 87.193424 42.749306 34.978757
30 87.193424 43.105028 35.121177
31 87.193424 43.653859 35.183412
32 87.193424 43.653859 35.183412
33 87.193424 44.014096 34.814078
34 87.193424 44.181981 34.782642
35 87.193424 44.456852 34.851897
36 87.193424 45.812246 34.847899
37 87.193424 45.901954 34.887525
38 87.193424 45.987485 34.837245
39 87.193424 46.347656 34.853453
40 87.193424 46.348878 34.852563
41 87.193424 46.886429 34.689834
42 87.193424 47.101617 34.867698
43 87.193424 47.102275 34.867224
44 87.193424 47.192295 34.926806
45 87.193424 47.544293 35.078232
46 89.393424 48.091623 35.487704
47 89.393424 48.091623 35.487704
48 89.393424 48.27137 35.553922
49 89.393424 48.484075 35.721005
