

gen best mean std
0 88.910267 19.80385 34.531813
1 91.541098 31.952774 36.363413
2 91.541098 42.587237 36.582108
3 91.541098 48.314742 36.536156
4 91.541098 57.730011 34.716295
5 91.541098 62.067797 32.534514
6 91.813573 68.751311 27.773559
7 92.024051 71.13608 26.467871
8 93.036796 74.677494 24.216839
9 93.036796 77.123131 21.85052
10 93.036796 80.109377 18.013433
11 93.036796 82.056757 15.49751
12 93.036796 83.932309 12.424085
13 93.036796 84.817942 11.20119
14 93.036796 85.783893 8.834108
15 93.036796 86.744905 6.902223
16 93.036796 87.261141 5.146497
17 93.036796 87.632922 4.149899
18 93.036796 88.243415 2.518635
19 93.036796 88.505225 2.167814
20 93.036796 88.517898 2.165611
21 93.036796 88.574184 2.175524
22 93.036796 88.610031 2.171921
23 93.036796 88.697893 2.175766
24 93.036796 88.770429 2.176599
25 93.036796 88.917827 2.197929
26 93.112506 89.088125 2.245616
27 93.112506 89.092059 2.24082
28 93.112506 89.127888 2.249924
29 93.112506 89.278169 2.245563
30 93.334253 89.419256 2.310485
31 93.334253 89.565513 2.282399
32 93.334253 89.650562 2.272245
33 93.334253 89.721691 2.208027
34 93.766708 89.836437 2.199155
35 93.766708 89.839596 2.199425
36 93.766708 89.913183 2.262454
37 93.766708 89.979665 2.207333
38 93.766708 90.048067 2.187339
39 93.766708 90.293561 2.105417
40 93.766708 90.332466 2.096787
41 93.766708 90.39253 2.094822
42 93.766708 90.482781 2.076356
43 93.766708 90.576275 2.031977
44 93.766708 90.630714 2.052373
45 93.766708 90.724298 2.033058
46 93.766708 90.768838 1.974995
47 93.766708 90.821718 1.981211
48 93.766708 90.853142 1.981663
49 93.766708 90.877701 1.936796
