

gen best mean std
0 86.306285 21.585639 36.480064
1 87.285106 35.834491 40.279219
2 87.285106 50.582007 39.15105
3 87.285106 58.15208 37.146375
4 87.285106 63.534229 35.508232
5 87.285106 68.543365 32.68073
6 93.334253 76.971654 24.927394
7 93.334253 82.890799 15.298597
8 93.334253 84.062744 12.752372
9 93.334253 85.409027 8.684637
10 93.334253 86.030667 6.685161
11 93.334253 86.091335 6.702588
12 93.334253 86.1944 6.733788
13 93.334253 86.371665 6.793765
14 93.334253 86.442625 6.810308
15 93.334253 86.671674 6.888087
16 93.334253 87.436302 1.912508
17 93.334253 87.499986 1.928344
18 93.334253 87.535454 1.932632
19 93.334253 87.630846 1.977229
20 93.334253 87.680765 1.973126
21 93.334253 87.693631 1.972292
22 93.334253 87.770107 2.013867
23 93.334253 87.780939 2.00637
24 93.334253 87.863617 2.040538
25 93.334253 88.037064 2.125372
26 93.334253 88.205358 2.172589
27 93.334253 88.394079 2.224251
28 93.334253 88.423343 2.247101
29 93.334253 88.550676 2.267572
30 93.334253 88.81962 2.289159
31 93.334253 88.941467 2.341722
32 93.334253 89.033943 2.350066
33 93.334253 89.128529 2.349009
34 93.334253 89.276264 2.374071
35 93.334253 89.364026 2.324952
36 93.427727 89.528869 2.346423
37 93.427727 89.740899 2.420845
38 93.427727 89.791917 2.38747
39 93.427727 89.924394 2.30174
40 93.427727 89.999419 2.315208
41 93.427727 90.216405 2.271311
42 93.427727 90.265464 2.238109
43 93.427727 90.429183 2.181748
44 93.427727 90.61268 2.207665
45 93.427727 90.698049 2.154364
46 93.427727 90.710966 2.153476
47 93.492976 90.755464 2.139339
48 93.492976 90.891701 2.050885
49 93.492976 90.950809 2.050201
