

gen best mean std
0 14.240366 -2.990259 4.876847
1 24.036078 -0.677621 6.32864
2 24.036078 2.455769 8.179656
3 27.436006 5.159494 8.526945
4 27.436006 6.991262 8.468112
5 27.436006 8.022457 8.337384
6 27.436006 9.209218 8.175194
7 27.436006 10.559488 7.675932
8 27.56811 12.304916 7.558147
9 31.829617 13.465475 7.588689
10 31.829617 15.334399 7.423528
11 34.761229 17.184252 7.660325
12 34.761229 18.791363 8.085113
13 34.761229 20.090567 8.384984
14 36.271568 21.387049 8.426748
15 42.780771 22.786659 8.419054
16 42.780771 24.683329 8.247977
17 42.780771 26.344308 7.945936
18 42.780771 26.943047 7.847037
19 42.780771 28.118154 7.635055
20 42.780771 28.738633 7.480507
21 42.780771 29.754513 7.015921
22 42.780771 30.306968 6.894497
23 42.780771 30.638846 6.675493
24 42.780771 30.97203 6.368639
25 42.780771 31.334968 6.015161
26 42.813106 32.010884 5.337285
27 42.813106 32.266517 5.184675
28 42.813106 32.453939 5.113689
29 42.813106 32.620699 5.102445
30 42.813106 32.842996 5.052229
31 42.813106 32.981136 5.07562
32 42.813106 33.17415 4.890066
33 42.813106 33.349245 4.849439
34 42.813106 33.492239 4.840876
35 42.813106 33.555162 4.847004
36 42.813106 33.690314 4.736092
37 42.813106 33.794822 4.687724
38 42.813106 33.896147 4.641754
39 42.813106 33.981576 4.63755
40 42.813106 34.087 4.573053
41 42.813106 34.521368 4.321732
42 42.813106 34.666519 4.110285
43 42.813106 34.723633 3.98724
44 42.813106 34.845103 4.010728
45 42.813106 34.974801 4.04888
46 42.813106 35.14912 4.057767
47 42.813106 35.345978 3.895033
48 42.813106 35.480074 3.973248
49 42.813106 35.532248 3.898369
