

gen best mean std
0 91.367911 23.060309 37.954296
1 92.314 33.648101 40.925798
2 92.314 42.076019 42.446896
3 92.314 49.093523 43.181035
4 93.622788 53.206704 42.35359
5 93.622788 55.8645 42.070765
6 93.622788 59.23573 41.347715
7 93.622788 61.294651 40.91989
8 93.622788 62.75605 40.79551
9 93.622788 64.61308 40.112783
10 93.700945 67.365535 38.363562
11 93.700945 68.049785 37.622456
12 94.629365 69.06559 37.005076
13 94.629365 70.812454 36.099347
14 94.629365 75.708222 32.94155
15 94.629365 75.764527 32.824975
16 94.629365 77.126539 31.342842
17 94.629365 77.727895 30.742095
18 94.629365 78.668096 29.97082
19 94.629365 79.753215 29.420487
20 94.629365 81.13411 27.817577
21 94.629365 81.190724 27.828298
22 94.629365 81.290784 27.863188
23 94.629365 81.343198 27.883454
24 94.629365 83.559598 24.858982
25 94.629365 83.880311 24.079559
26 94.629365 84.448146 23.669338
27 94.629365 84.690453 23.602944
28 94.629365 85.937099 21.269716
29 94.629365 86.65874 20.472164
30 94.629365 86.69886 20.482867
31 94.629365 86.756647 20.486117
32 94.629365 86.801084 20.49716
33 94.629365 86.863562 20.453131
34 94.696054 86.943042 20.47036
35 94.696054 87.860263 18.642848
36 94.696054 87.872032 18.644687
37 94.696054 87.886141 18.644738
38 94.696054 87.932542 18.609162
39 94.696054 87.980181 18.621032
40 94.696054 88.025296 18.625424
41 94.696054 88.043534 18.607798
42 94.696054 88.051141 18.609104
43 94.696054 88.900289 16.527801
44 94.696054 89.124038 16.34899
45 94.696054 89.131417 16.350501
46 94.696054 89.363095 16.222959
47 94.696054 89.563651 15.352914
48 94.696054 89.564168 15.352993
49 94.696054 89.564168 15.352993
