

gen best mean std
0 87.011736 6.424969 22.081159
1 87.011736 12.930258 25.417088
2 87.011736 18.181028 28.215059
3 87.213791 25.207866 28.781074
4 87.213791 32.138794 29.263728
5 87.213791 37.603594 29.119404
6 87.213791 44.80128 28.604673
7 87.213791 49.853592 27.966821
8 87.213791 52.480603 28.093859
9 87.213791 57.262092 26.472788
10 87.213791 59.414976 26.832504
11 87.213791 61.19061 27.056292
12 87.213791 63.860332 25.83448
13 87.213791 66.480168 23.908616
14 87.213791 67.570564 24.084214
15 87.213791 69.061466 23.482624
16 87.213791 70.584971 22.059181
17 87.213791 71.726612 20.888479
18 87.213791 74.119962 19.325167
19 87.213791 74.812321 18.681394
20 87.213791 75.600074 18.229188
21 87.213791 75.754098 18.195839
22 87.213791 76.556666 17.870653
23 87.213791 77.301163 17.825253
24 87.213791 77.533395 17.822879
25 87.213791 77.758387 17.725291
26 87.213791 78.664828 17.492376
27 87.213791 79.094987 17.343263
28 89.993424 79.142121 17.365471
29 89.993424 79.154392 17.370625
30 89.993424 79.171755 17.378103
31 89.993424 79.739724 17.051501
32 89.993424 79.879192 17.066147
33 89.993424 80.382014 16.7734
34 89.993424 80.516338 16.781186
35 89.993424 80.54088 16.787967
36 89.993424 80.542677 16.788669
37 89.993424 81.117637 15.396057
38 89.993424 81.988902 14.038092
39 89.993424 81.992265 14.039318
40 89.993424 82.004427 14.043373
41 89.993424 82.004698 14.04347
42 89.993424 82.010332 14.045516
43 89.993424 82.102286 13.680188
44 89.993424 82.106082 13.681576
45 89.993424 82.756666 12.498695
46 89.993424 82.758957 12.499491
47 89.993424 82.759365 12.499636
48 89.993424 82.759405 12.499631
49 89.993424 82.885585 12.482073
