

gen best mean std
0 89.675833 19.038223 32.465718
1 89.958508 33.23294 35.14655
2 90.455833 45.028045 34.478359
3 90.455833 55.553543 33.194408
4 90.455833 67.529849 28.664079
5 90.455833 72.484582 25.961723
6 90.455833 75.158216 23.759336
7 92.476415 79.825207 19.529351
8 92.476415 82.095739 17.070901
9 92.476415 85.027855 12.292519
10 92.476415 86.655231 9.669727
11 92.476415 88.029598 4.955972
12 92.476415 88.208429 4.979531
13 92.476415 89.127489 1.817834
14 92.476415 89.34474 1.791624
15 92.476415 89.779212 1.740678
16 92.476415 90.020229 1.63809
17 92.476415 90.163395 1.614371
18 92.476415 90.388219 1.595674
19 92.476415 90.5343 1.629741
20 92.476415 90.679821 1.553532
21 92.476415 90.794875 1.564411
22 92.602972 90.909979 1.56071
23 92.602972 91.03873 1.577968
24 92.602972 91.112255 1.490703
25 92.602972 91.245014 1.395705
26 92.602972 91.354142 1.386335
27 92.602972 91.413644 1.297486
28 92.602972 91.499182 1.287195
29 92.602972 91.565539 1.254849
30 92.602972 91.67089 1.041204
31 92.602972 91.716286 1.000884
32 92.602972 91.841993 0.911866
33 92.602972 91.895799 0.89936
34 92.602972 91.981585 0.821726
35 92.602972 91.998632 0.813111
36 92.602972 92.083409 0.587574
37 92.602972 92.101341 0.587269
38 92.602972 92.127276 0.584854
39 92.602972 92.153218 0.566036
40 92.602972 92.170445 0.557295
41 92.602972 92.198357 0.553296
42 92.602972 92.221193 0.521056
43 92.602972 92.259086 0.467691
44 92.602972 92.267291 0.462829
45 92.602972 92.272021 0.462873
46 92.602972 92.302945 0.446897
47 92.602972 92.312301 0.446793
48 92.602972 92.321411 0.448873
49 92.602972 92.324568 0.448413
