

gen best mean std
0 74.868774 5.373875 16.542595
1 87.011736 14.854812 21.970038
2 87.011736 22.293253 21.097277
3 87.011736 26.066955 20.073438
4 87.011736 30.452376 20.749113
5 87.011736 35.099052 21.547692
6 87.011736 38.943639 22.608328
7 87.011736 42.759894 21.336113
8 87.011736 44.621925 20.932291
9 87.19141 51.211683 20.625761
10 87.19141 55.606206 20.186981
11 87.19141 60.518132 18.325222
12 87.19141 63.002729 18.416808
13 87.19141 66.422511 16.98043
14 87.19141 67.976106 15.457227
15 87.217915 70.545055 15.045434
16 87.217915 74.645133 13.632484
17 87.217915 77.995291 12.34075
18 87.217915 80.173006 10.798296
19 87.217915 82.019728 9.464329
20 87.413791 82.733604 8.25941
21 88.413791 83.682932 7.381918
22 88.413791 84.081152 6.683825
23 89.413791 84.213549 6.738475
24 89.413791 84.586752 6.550452
25 89.413791 85.134916 5.612157
26 89.593424 85.595923 5.364414
27 89.793424 86.132273 4.569906
28 89.793424 86.383035 4.101846
29 89.793424 86.555707 3.759927
30 89.793424 86.933107 2.901264
31 89.793424 87.008578 2.929849
32 89.793424 87.036802 2.928532
33 89.793424 87.094273 2.948968
34 89.793424 87.16011 2.943243
35 89.793424 87.207499 2.959474
36 89.793424 87.225416 2.966287
37 90.193424 87.297212 2.965313
38 90.193424 87.560945 2.726878
39 90.193424 87.632578 2.74615
40 90.193424 87.700212 2.757082
41 90.193424 87.758049 2.766737
42 90.193424 87.82754 2.784117
43 90.193424 87.875519 2.79334
44 90.193424 87.937356 2.801328
45 90.193424 87.981173 2.806621
46 90.193424 88.019234 2.804001
47 90.193424 88.228228 2.476153
48 90.193424 88.465464 1.037887
49 90.193424 88.516915 1.056692
