

gen best mean std
0 93.073573 14.821361 33.101966
1 93.073573 20.396667 36.24452
2 93.073573 22.382045 37.119147
3 93.073573 24.940263 37.914562
4 93.073573 27.372135 39.081001
5 93.129365 31.547464 40.627424
6 93.129365 33.747817 41.519383
7 93.129365 35.205228 41.713343
8 94.36625 35.85406 41.724748
9 94.36625 37.345091 41.75962
10 94.36625 40.264892 42.6379
11 94.36625 42.625602 42.593234
12 94.36625 44.352094 42.985321
13 94.36625 47.94734 43.610479
14 94.36625 48.250239 43.379884
15 94.36625 49.692674 43.475331
16 94.36625 50.264392 43.197446
17 94.36625 51.441322 43.466895
18 94.36625 52.443615 43.319871
19 94.36625 53.222859 43.334721
20 94.36625 53.238201 43.348691
21 94.36625 54.154514 43.21763
22 94.36625 54.617015 43.412735
23 94.36625 55.355515 43.097336
24 94.36625 55.583279 43.232844
25 94.36625 55.697803 43.167971
26 94.36625 55.709547 43.177977
27 94.36625 56.449131 43.18958
28 94.36625 56.49647 43.221769
29 94.36625 56.561548 43.199083
30 94.36625 56.562172 43.199586
31 94.36625 56.743972 43.026119
32 94.36625 58.596865 42.468201
33 94.36625 59.504981 42.326576
34 94.36625 59.89167 41.978275
35 94.36625 61.860338 41.05328
36 94.36625 61.869482 41.060232
37 94.36625 63.232812 40.920145
38 94.36625 63.881264 40.809055
39 94.36625 64.244528 40.787681
40 94.36625 64.263128 40.776356
41 94.36625 65.064974 40.600409
42 94.36625 65.081535 40.611435
43 94.36625 65.086808 40.614955
44 94.389365 65.136526 40.648536
45 94.389365 65.252326 40.480849
46 94.389365 65.354863 40.373598
47 94.509365 67.342689 39.555884
48 94.509365 67.426282 39.523988
49 94.509365 67.457075 39.539525
