

gen best mean std
0 93.526708 31.543981 39.7067
1 93.526708 50.813102 40.662109
2 93.526708 65.429211 36.521366
3 93.526708 76.376824 29.468013
4 93.526708 83.964151 21.712658
5 93.526708 89.123315 12.51661
6 93.526708 89.871051 10.674034
7 93.706708 90.514821 9.104392
8 93.706708 91.416062 4.317652
9 93.706708 91.957924 0.848487
10 93.706708 92.049218 0.822635
11 93.706708 92.108849 0.821453
12 93.706708 92.257304 0.863361
13 93.743754 92.350882 0.871816
14 93.900103 92.416765 0.875283
15 93.900103 92.556763 0.851187
16 93.900103 92.639569 0.850907
17 93.900103 92.696284 0.845752
18 93.900103 92.710508 0.843059
19 93.900103 92.756016 0.840585
20 93.900103 92.796841 0.830962
21 93.900103 92.816882 0.816828
22 93.900103 92.848958 0.794669
23 94.089362 92.873907 0.795574
24 94.151732 92.977089 0.738182
25 94.151732 92.995867 0.718594
26 94.151732 93.027818 0.687929
27 94.151732 93.042626 0.67886
28 94.151732 93.065476 0.678372
29 94.151732 93.108231 0.656616
30 94.151732 93.124155 0.660213
31 94.151732 93.133625 0.65316
32 94.151732 93.150864 0.647333
33 94.151732 93.168752 0.632071
34 94.151732 93.208688 0.592665
35 94.151732 93.233567 0.548998
36 94.151732 93.236959 0.546195
37 94.151732 93.254019 0.532188
38 94.151732 93.272999 0.515847
39 94.151732 93.326388 0.471078
40 94.409516 93.351922 0.46894
41 94.409516 93.386243 0.414873
42 94.409516 93.392529 0.413831
43 94.42625 93.42063 0.406361
44 94.42625 93.431084 0.405107
45 94.42625 93.44266 0.405202
46 94.42625 93.456887 0.414243
47 94.42625 93.479608 0.422488
48 94.42625 93.508443 0.421952
49 94.42625 93.517556 0.420042
