

gen best mean std
0 13.172209 -3.203843 3.958398
1 15.457763 -0.277627 5.681627
2 18.506314 1.696918 6.671143
3 28.470552 4.773607 7.911557
4 28.470552 7.85506 7.833843
5 28.470552 9.682371 7.738041
6 30.690872 11.746965 7.685271
7 30.690872 13.511669 7.907796
8 30.690872 15.392623 8.024639
9 36.901008 16.810329 8.283502
10 36.901008 18.03365 8.273705
11 36.901008 19.962179 8.248431
12 36.901008 21.788866 7.824443
13 36.905072 23.211482 7.993625
14 36.905072 23.962678 7.760204
15 36.906632 24.863044 7.889312
16 36.906632 25.654034 7.424637
17 36.906632 26.982261 6.840926
18 36.906632 27.942174 6.277582
19 36.906632 28.946322 5.8613
20 39.722382 29.652417 5.677871
21 39.722382 29.956358 5.691702
22 39.722382 30.330348 5.475276
23 39.722382 30.627319 5.489493
24 39.722382 30.954584 5.299404
25 39.722382 31.268625 5.254577
26 39.722382 31.38774 5.023189
27 42.482919 31.750923 4.934201
28 42.482919 31.931204 4.819077
29 42.482919 32.052825 4.792414
30 42.482919 32.208143 4.566884
31 42.482919 32.432087 4.41038
32 42.482919 32.531621 4.308478
33 42.482919 32.748825 4.208788
34 42.482919 33.044202 4.171537
35 42.482919 33.338231 3.951757
36 42.482919 33.569636 3.787351
37 42.482919 33.687412 3.798154
38 42.482919 33.80815 3.775812
39 42.482919 33.84525 3.663977
40 42.482919 33.902675 3.526362
41 42.482919 34.038497 3.436806
42 42.482919 34.123384 3.445734
43 43.99341 34.382861 3.528485
44 43.99341 34.539024 3.505448
45 43.99341 34.585657 3.483088
46 43.99341 34.644666 3.483198
47 43.99341 34.758216 3.428963
48 43.99341 34.89524 3.264653
49 43.99341 34.956482 3.211897
