

gen best mean std
0 23.019058 -2.711855 6.152847
1 23.019058 -0.76158 6.600503
2 23.019058 0.334136 6.684051
3 29.502189 2.262358 7.593321
4 29.502189 4.892211 8.362883
5 29.502189 7.171856 8.578214
6 30.608273 8.796783 8.515635
7 30.608273 9.937875 8.442256
8 30.608273 11.462621 8.22373
9 30.608273 12.870847 7.717407
10 30.608273 13.788747 7.271792
11 30.608273 14.876474 7.312929
12 38.282446 15.609879 7.366782
13 38.282446 16.981259 7.179774
14 38.282446 17.712473 6.906863
15 38.282446 18.140541 6.632609
16 38.282446 18.799471 6.517703
17 38.282446 19.257795 6.500239
18 38.282446 19.461714 6.460358
19 38.282446 20.791801 6.406855
20 38.282446 21.856735 6.310095
21 38.282446 23.635692 6.88114
22 38.282446 24.368903 6.90869
23 38.282446 25.351215 7.070398
24 38.282446 26.248087 6.985526
25 38.282446 26.983326 6.971111
26 38.282446 27.561987 6.962054
27 41.193304 27.909955 7.054789
28 41.193304 28.621834 6.761758
29 41.193304 29.010262 6.868119
30 41.193304 29.741691 6.673541
31 41.193304 30.128587 6.416602
32 41.193304 30.780864 6.120399
33 41.193304 31.352505 6.089985
34 41.193304 31.683307 5.839282
35 41.193304 31.929297 5.878299
36 44.5882 32.368315 5.906207
37 44.5882 32.550371 5.671705
38 44.5882 33.245635 5.00337
39 44.5882 33.385236 4.877667
40 44.5882 33.723529 4.769423
41 44.5882 34.063022 4.443576
42 44.5882 34.179145 4.315269
43 44.5882 34.193107 4.311392
44 44.5882 34.332293 4.1926
45 44.5882 34.353145 4.190042
46 44.5882 34.353145 4.190042
47 44.5882 34.374299 4.187678
48 44.5882 34.490868 4.231438
49 44.5882 34.610354 4.232927
