

gen best mean std
0 92.006757 35.765837 41.902334
1 92.030514 54.793977 41.128392
2 92.978093 65.784884 36.715498
3 92.978093 79.608216 26.912008
4 94.209362 84.034281 21.999472
5 94.209362 87.143905 17.424708
6 94.282788 89.880919 10.020141
7 94.282788 90.650332 7.150162
8 94.282788 90.804463 7.157043
9 94.282788 91.575891 1.163177
10 94.282788 91.672229 1.05799
11 94.282788 91.844031 0.869769
12 94.282788 91.907442 0.853162
13 94.282788 91.985099 0.860828
14 94.282788 92.052481 0.855176
15 94.282788 92.123403 0.838376
16 94.282788 92.202482 0.758948
17 94.282788 92.230454 0.756144
18 94.282788 92.260296 0.78454
19 94.282788 92.303145 0.78365
20 94.282788 92.318853 0.77784
21 94.282788 92.350312 0.766874
22 94.282788 92.393769 0.758656
23 94.282788 92.412061 0.742645
24 94.282788 92.497304 0.71134
25 94.282788 92.546127 0.710366
26 94.282788 92.60971 0.726122
27 94.282788 92.638806 0.722942
28 94.282788 92.652304 0.724717
29 94.282788 92.672805 0.71174
30 94.282788 92.681619 0.713491
31 94.282788 92.697583 0.719445
32 94.282788 92.713149 0.718306
33 94.282788 92.746274 0.693821
34 94.282788 92.747429 0.694493
35 94.282788 92.752984 0.700717
36 94.282788 92.765286 0.690417
37 94.702788 92.796101 0.691086
38 94.702788 92.839914 0.700131
39 94.702788 92.851338 0.697805
40 94.702788 92.858532 0.695079
41 94.702788 92.871273 0.694067
42 94.702788 92.884557 0.700934
43 94.702788 92.895321 0.685731
44 94.702788 92.92338 0.670723
45 94.702788 92.930858 0.677744
46 94.702788 92.953473 0.660376
47 94.702788 92.964199 0.660586
48 94.702788 92.964918 0.658885
49 94.702788 92.985861 0.645812
