

gen best mean std
0 89.418508 4.873124 24.323984
1 89.979829 8.130652 27.451645
2 89.979829 9.02794 27.423844
3 89.979829 13.482525 31.937845
4 89.979829 14.799835 31.773796
5 89.979829 16.490566 33.193131
6 89.979829 16.957884 33.097006
7 90.310119 20.660167 35.803518
8 90.310119 23.073057 36.943122
9 90.772977 24.706192 38.302453
10 90.862348 25.580946 38.706663
11 90.862348 25.700654 38.72636
12 90.862348 25.919782 38.796111
13 91.362464 28.025832 39.683392
14 91.679599 29.038734 40.410028
15 91.679599 30.841719 40.859937
16 91.679599 31.118597 40.781242
17 91.679599 32.020324 41.06126
18 91.693573 32.919515 40.959781
19 91.693573 33.919944 41.096702
20 91.693573 33.929685 41.103042
21 91.693573 36.132662 42.042729
22 91.693573 36.173824 42.027107
23 91.693573 36.489467 42.350029
24 91.693573 36.858911 42.519553
25 91.693573 36.949433 42.499596
26 91.693573 37.518964 42.878515
27 91.693573 38.386685 43.056664
28 91.693573 38.393399 43.052581
29 91.693573 39.702524 43.528328
30 92.61194 39.78263 43.614868
31 92.61194 40.63551 43.73467
32 92.61194 40.640105 43.739734
33 92.61194 41.136669 44.001579
34 92.61194 41.142365 44.005015
35 92.61194 41.14368 44.006367
36 92.61194 41.210319 44.076423
37 92.61194 41.210319 44.076423
38 92.61194 41.217878 44.078515
39 92.61194 41.223601 44.080801
40 92.61194 41.536065 43.929032
41 92.61194 41.630955 43.900998
42 92.73194 41.632668 43.901845
43 92.73194 41.720874 43.868986
44 92.73194 41.729449 43.878308
45 92.73194 41.741077 43.880651
46 92.73194 42.11254 43.808426
47 92.73194 42.17317 43.861
48 92.73194 42.213294 43.903198
49 92.73194 42.790241 44.114518
