

gen best mean std
0 93.198708 27.283671 38.216798
1 93.707 43.621308 41.653166
2 93.808012 60.837907 39.086676
3 93.808012 70.332355 34.90301
4 93.808012 74.636964 32.124132
5 94.276054 78.846612 28.920469
6 94.276054 82.726431 24.614771
7 94.276054 88.44978 14.168377
8 94.276054 89.489975 11.296469
9 94.276054 90.336467 9.422493
10 94.276054 90.474446 9.428203
11 94.276054 90.592038 9.438637
12 94.276054 91.980405 1.075657
13 94.276054 92.096785 1.078689
14 94.276054 92.236805 1.029106
15 94.276054 92.305 0.931419
16 94.276054 92.398819 0.86064
17 94.276054 92.478091 0.852238
18 94.276054 92.502169 0.819946
19 94.276054 92.57099 0.782199
20 94.276054 92.611063 0.773544
21 94.276054 92.648913 0.741418
22 94.423266 92.69915 0.728332
23 94.423266 92.751027 0.697261
24 94.423266 92.803203 0.676709
25 94.423266 92.836043 0.673302
26 94.423266 92.861352 0.669874
27 94.423266 92.896148 0.656416
28 94.423266 92.917941 0.634514
29 94.423266 92.919445 0.636102
30 94.423266 92.935455 0.642075
31 94.423266 92.970493 0.630625
32 94.423266 92.989256 0.63425
33 94.423266 93.001006 0.635492
34 94.423266 93.016647 0.628244
35 94.423266 93.033265 0.622018
36 94.423266 93.039429 0.624538
37 94.423266 93.085342 0.60957
38 94.423266 93.10548 0.58528
39 94.582788 93.14069 0.610374
40 94.582788 93.162226 0.60428
41 94.582788 93.183518 0.611999
42 94.582788 93.194215 0.612725
43 94.582788 93.215663 0.626103
44 94.582788 93.21814 0.625531
45 94.582788 93.232718 0.61999
46 94.582788 93.253917 0.606495
47 94.582788 93.259272 0.604674
48 94.582788 93.290209 0.56085
49 94.582788 93.31357 0.566363
