

gen best mean std
0 93.441683 38.755946 40.329541
1 93.443414 63.862467 38.242024
2 93.443414 74.811635 30.620555
3 93.443414 86.018732 17.620168
4 93.842505 89.830348 11.694067
5 94.01731 91.038998 9.614903
6 94.01731 92.551392 0.803792
7 94.01731 92.710618 0.82488
8 94.01731 92.857792 0.722813
9 94.01731 92.982891 0.684281
10 94.01731 93.115383 0.663005
11 94.01731 93.244558 0.622617
12 94.01731 93.312696 0.608805
13 94.01731 93.38785 0.559282
14 94.022505 93.477056 0.500994
15 94.022505 93.524945 0.44305
16 94.022505 93.547284 0.441534
17 94.022505 93.576901 0.441463
18 94.022505 93.618997 0.427877
19 94.022505 93.680661 0.342467
20 94.022505 93.712172 0.340058
21 94.022505 93.723899 0.342902
22 94.022505 93.759554 0.294382
23 94.022505 93.782612 0.286985
24 94.022505 93.80504 0.283455
25 94.022505 93.834138 0.233343
26 94.022505 93.863476 0.199285
27 94.022505 93.878941 0.190319
28 94.022505 93.894557 0.18478
29 94.022505 93.903615 0.174785
30 94.022505 93.90892 0.172987
31 94.022505 93.911372 0.168027
32 94.022505 93.925872 0.150803
33 94.022505 93.938922 0.141654
34 94.022505 93.941765 0.139528
35 94.022505 93.947558 0.127791
36 94.022505 93.95725 0.119213
37 94.022505 93.965602 0.110388
38 94.022505 93.970786 0.107115
39 94.022505 93.980353 0.095577
40 94.022505 93.982257 0.095388
41 94.022505 93.985468 0.091259
42 94.022505 93.989217 0.088254
43 94.022505 93.991121 0.088301
44 94.022505 93.995425 0.087816
45 94.022505 93.999122 0.085011
46 94.022505 94.001078 0.084387
47 94.022505 94.009172 0.062
48 94.022505 94.009921 0.061675
49 94.022505 94.009921 0.061675
