

gen best mean std
0 86.731965 29.254168 39.509079
1 86.731965 49.62264 38.68781
2 86.731965 64.542344 33.464771
3 89.334582 70.690382 28.970648
4 91.362264 77.35466 21.834701
5 91.362264 82.266561 15.482801
6 91.362264 83.773628 11.600176
7 92.155982 85.626213 6.881219
8 92.414198 86.681201 4.200945
9 92.414198 86.713315 4.20676
10 92.414198 86.823076 4.239101
11 92.414198 86.856454 4.243335
12 92.414198 87.326819 1.665818
13 92.414198 87.557538 1.8237
14 92.414198 87.714178 1.874488
15 92.414198 87.759478 1.871244
16 92.414198 87.854694 1.861702
17 92.414198 87.96139 1.908483
18 92.414198 88.115345 1.932195
19 92.414198 88.269401 1.973889
20 92.414198 88.380333 1.981967
21 92.414198 88.437001 1.961687
22 92.414198 88.498732 1.968458
23 92.414198 88.633323 1.985328
24 92.414198 88.783436 1.978684
25 92.414198 88.786885 1.975004
26 92.414198 88.876239 2.001737
27 92.414198 89.021228 1.958232
28 92.421578 89.15508 1.9461
29 92.421578 89.268502 1.941127
30 92.856168 89.416813 1.996356
31 92.856168 89.570066 1.967977
32 92.856168 89.67165 1.948102
33 92.856168 89.782611 1.958327
34 92.856168 89.838952 1.96834
35 92.856168 89.898106 1.965596
36 92.856168 90.025497 1.946195
37 92.856168 90.113748 1.928996
38 92.856168 90.207969 1.902105
39 92.856168 90.394147 1.849496
40 92.856168 90.603153 1.796777
41 92.856168 90.648702 1.766808
42 92.856168 90.73969 1.706421
43 92.856168 90.865715 1.600763
44 92.856168 90.956425 1.503415
45 92.856168 90.970953 1.491907
46 92.856168 91.062724 1.479543
47 92.856168 91.116367 1.411634
48 92.856168 91.151021 1.404047
49 92.856168 91.203804 1.365527
